Gene	Gene_name	GO_class	Contributor	Organism	Evidence	Evidence_with	Reference	Date
cfdp1	Craniofacial development protein 1	GO:0005634	GO_Central	Oryzias latipes	IBA	PANTHER:PTN000577775|FB:FBgn0267398|SGD:S000000435	PMID:21873635	20211108
cfdp1	Craniofacial development protein 1	GO:0006338	GO_Central	Oryzias latipes	IBA	PANTHER:PTN000577775|SGD:S000000435	PMID:21873635	20211108
cfdp1	Craniofacial development protein 1	GO:0000812	GO_Central	Oryzias latipes	IBA	PANTHER:PTN004619306|SGD:S000000435	PMID:21873635	20211108
CFDP1	Craniofacial development protein 1	GO:0000812	GO_Central	Sus scrofa	IBA	PANTHER:PTN004619306|SGD:S000000435	PMID:21873635	20211108
CFDP1	Craniofacial development protein 1	GO:0005634	GO_Central	Sus scrofa	IBA	PANTHER:PTN000577775|FB:FBgn0267398|SGD:S000000435	PMID:21873635	20211108
CFDP1	Craniofacial development protein 1	GO:0006338	GO_Central	Sus scrofa	IBA	PANTHER:PTN000577775|SGD:S000000435	PMID:21873635	20211108
LOC108986183	craniofacial development protein 1	GO:0005634	GO_Central	Juglans regia	IBA	PANTHER:PTN000577775|FB:FBgn0267398|SGD:S000000435	PMID:21873635	20211108
LOC108986183	craniofacial development protein 1	GO:0006338	GO_Central	Juglans regia	IBA	PANTHER:PTN000577775|SGD:S000000435	PMID:21873635	20211108
CFDP1	Craniofacial development protein 1	GO:0005634	GO_Central	Macaca mulatta	IBA	PANTHER:PTN000577775|FB:FBgn0267398|SGD:S000000435	PMID:21873635	20211108
CFDP1	Craniofacial development protein 1	GO:0006338	GO_Central	Macaca mulatta	IBA	PANTHER:PTN000577775|SGD:S000000435	PMID:21873635	20211108
CFDP1	Craniofacial development protein 1	GO:0000812	GO_Central	Macaca mulatta	IBA	PANTHER:PTN004619306|SGD:S000000435	PMID:21873635	20211108
BRAFLDRAFT_59753	Craniofacial development protein 1	GO:0006338	GO_Central	Branchiostoma floridae	IBA	PANTHER:PTN000577775|SGD:S000000435	PMID:21873635	20211108
BRAFLDRAFT_59753	Craniofacial development protein 1	GO:0000812	GO_Central	Branchiostoma floridae	IBA	PANTHER:PTN004619306|SGD:S000000435	PMID:21873635	20211108
BRAFLDRAFT_59753	Craniofacial development protein 1	GO:0005634	GO_Central	Branchiostoma floridae	IBA	PANTHER:PTN000577775|FB:FBgn0267398|SGD:S000000435	PMID:21873635	20211108
CFDP1	Craniofacial development protein 1	GO:0006338	GO_Central	Bos taurus	IBA	PANTHER:PTN000577775|SGD:S000000435	PMID:21873635	20211108
